,UF,acesso_a_Internet,Renda_per_capita
81940,RJ,não,788.0
81941,RJ,sim,2500.0
81942,RJ,sim,557.0
81943,RJ,não,2800.0
81944,RJ,sim,1233.0
81945,RJ,sim,1800.0
81946,RJ,não,1194.0
81947,RJ,sim,1611.0
81948,RJ,sim,850.0
81949,RJ,não,300.0
81950,RJ,sim,5000.0
81951,RJ,sim,1333.0
81952,RJ,sim,1350.0
81953,RJ,não,1644.0
81954,RJ,não,400.0
81955,RJ,sim,650.0
81956,RJ,sim,596.0
81957,RJ,sim,1150.0
81959,RJ,sim,1394.0
81961,RJ,sim,950.0
81963,RJ,sim,1896.0
81964,RJ,sim,416.0
81967,RJ,sim,1250.0
81968,RJ,sim,2000.0
81970,RJ,sim,5333.0
81982,RJ,sim,5300.0
81984,RJ,não,3800.0
81988,RJ,sim,1000.0
81989,RJ,não,600.0
81990,RJ,sim,650.0
81991,RJ,sim,160.0
81992,RJ,sim,282.0
81993,RJ,sim,471.0
81994,RJ,não,500.0
81995,RJ,sim,197.0
81996,RJ,sim,925.0
81997,RJ,sim,1125.0
81998,RJ,sim,596.0
81999,RJ,não,788.0
82000,RJ,não,56.0
82001,RJ,sim,1144.0
82002,RJ,sim,788.0
82003,RJ,não,788.0
82004,RJ,não,1350.0
82005,RJ,sim,262.0
82006,RJ,sim,360.0
82007,RJ,não,1200.0
82008,RJ,sim,591.0
82009,RJ,sim,550.0
82010,RJ,sim,2500.0
82011,RJ,sim,239.0
82012,RJ,sim,500.0
82013,RJ,não,579.0
82014,RJ,não,955.0
82015,RJ,não,788.0
82016,RJ,não,1066.0
82017,RJ,não,2333.0
82019,RJ,não,962.0
82020,RJ,não,225.0
82021,RJ,sim,439.0
82022,RJ,sim,394.0
82023,RJ,sim,1096.0
82025,RJ,não,1300.0
82026,RJ,sim,1497.0
82027,RJ,sim,217.0
82028,RJ,não,325.0
82029,RJ,sim,833.0
82030,RJ,não,1275.0
82031,RJ,sim,375.0
82033,RJ,não,167.0
82034,RJ,sim,616.0
82035,RJ,não,411.0
82036,RJ,sim,466.0
82038,RJ,sim,529.0
82039,RJ,não,300.0
82040,RJ,sim,194.0
82041,RJ,sim,3500.0
82042,RJ,sim,316.0
82043,RJ,sim,694.0
82044,RJ,sim,349.0
82045,RJ,não,132.0
82046,RJ,sim,644.0
82047,RJ,sim,429.0
82049,RJ,sim,360.0
82050,RJ,sim,450.0
82054,RJ,sim,333.0
82055,RJ,não,669.0
82056,RJ,não,788.0
82057,RJ,não,240.0
82061,RJ,não,400.0
82062,RJ,sim,427.0
82063,RJ,sim,500.0
82064,RJ,sim,400.0
82065,RJ,sim,433.0
82066,RJ,sim,375.0
82067,RJ,sim,250.0
82068,RJ,não,6000.0
82069,RJ,não,1000.0
82070,RJ,sim,1295.0
82072,RJ,sim,525.0
82073,RJ,sim,525.0
82074,RJ,sim,2400.0
82076,RJ,sim,1075.0
82078,RJ,sim,992.0
82079,RJ,sim,788.0
82080,RJ,sim,1257.0
82081,RJ,sim,375.0
82082,RJ,sim,2250.0
82083,RJ,sim,316.0
82085,RJ,não,1244.0
82086,RJ,sim,1200.0
82088,RJ,sim,750.0
82089,RJ,não,646.0
82090,RJ,sim,5940.0
82091,RJ,não,4368.0
82092,RJ,não,1019.0
82093,RJ,não,1088.0
82094,RJ,sim,870.0
82096,RJ,não,1100.0
82097,RJ,sim,568.0
82098,RJ,não,1894.0
82099,RJ,sim,2933.0
82101,RJ,sim,5666.0
82102,RJ,sim,3790.0
82103,RJ,não,1184.0
82104,RJ,sim,1550.0
82105,RJ,não,962.0
82106,RJ,não,800.0
82108,RJ,não,789.0
82109,RJ,não,500.0
82110,RJ,sim,800.0
82111,RJ,não,300.0
82112,RJ,não,242.0
82113,RJ,sim,1400.0
82115,RJ,não,910.0
82116,RJ,sim,626.0
82117,RJ,sim,317.0
